============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  02:08:43 pm
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
    PUs[1].U_F..S17_add_41_16    77     0.357     70.441   112.705        183.146           183.503 
    PUs[16].U_..S13_add_41_16    38     0.356     41.808    34.898         76.705            77.061 
    PUs[2].U_F..S17_add_41_16    77     0.356     67.263   108.542        175.806           176.161 
    addinc_PUs.._S2_add_18_16    73     0.354     28.251    40.697         68.948            69.303 
    PUs[10].U_..S13_add_41_16    38     0.354     43.402    35.695         79.096            79.451 
    PUs[0].U_F..S13_add_41_16    38     0.354     41.030    33.282         74.312            74.666 
    PUs[7].U_F..S13_add_41_16    39     0.354     38.630    31.592         70.222            70.576 
    PUs[6].U_F..S13_add_41_16    38     0.353     38.344    31.681         70.025            70.378 
    PUs[1].U_F..S13_add_41_16    38     0.353     39.262    33.009         72.271            72.624 
    addinc_PUs.._S2_add_18_16    71     0.352     31.216    45.788         77.004            77.357 
    PUs[11].U_..S13_add_41_16    38     0.352     42.238    35.139         77.378            77.729 
    addinc_PUs.._S2_add_18_16    71     0.350     31.176    46.318         77.493            77.843 
    PUs[4].U_F..S13_add_41_16    39     0.350     44.285    35.268         79.553            79.903 
    PUs[2].U_F..S13_add_41_16    38     0.349     39.004    32.873         71.877            72.225 
    PUs[3].U_F..S13_add_41_16    38     0.348     40.121    32.558         72.679            73.028 
    addinc_PUs.._S2_add_18_16    71     0.346     30.730    44.936         75.666            76.012 
    addinc_PUs.._S2_add_18_16    71     0.345     28.549    44.515         73.065            73.410 
    addinc_PUs.._S2_add_18_16    71     0.344     28.888    45.634         74.522            74.866 
    addinc_PUs.._S2_add_18_16    71     0.344     31.401    49.230         80.631            80.975 
    addinc_PUs.._S2_add_18_16    71     0.344     29.418    45.208         74.625            74.969 
    PUs[12].U_..S13_add_41_16    38     0.342     41.312    33.134         74.446            74.789 
    addinc_PUs.._S2_add_18_16    71     0.342     29.088    45.633         74.722            75.063 
    addinc_PUs.._S2_add_18_16    71     0.341     29.015    46.495         75.510            75.851 
    addinc_PUs.._S2_add_18_16    71     0.340     30.631    47.770         78.402            78.742 
    addinc_PUs.._S2_add_18_16    71     0.340     28.782    44.152         72.934            73.273 
    addinc_PUs.._S2_add_18_16    71     0.340     27.634    42.596         70.230            70.569 
    addinc_PUs.._S2_add_18_16    71     0.339     26.996    40.708         67.704            68.043 
    PUs[3].U_F.._S1_add_18_10    51     0.339     30.845    50.856         81.701            82.040 
    PUs[9].U_F.._S1_add_18_10    52     0.339     31.573    55.347         86.920            87.259 
